cant_registros,costo_total,costo_promedio,duracion_promedio,distancia_promedio,dia,barrio_abordaje,barrio_destino
12057,546463.14000000048,45.323309280915687,16.921373475989054,5.4765862154764866,2022-12-01,Manhattan,Unknown
7060,413622.62999999989,58.586774787535397,30.510481586402268,15.73448441926346,2022-05-01,Queens,Bronx
12443,438509.72000000032,35.24147874306842,25.608936751587237,8.4056658362131333,2022-05-01,Manhattan,Bronx
189,10592.07,56.042698412698414,12.941798941798941,7.1855026455026429,2022-07-01,Brooklyn,Unknown
2374,112741.58,47.490134793597306,28.144903117101936,10.102472620050554,2023-07-01,Brooklyn,Queens
385,24805.859999999986,64.43080519480516,34.064935064935064,13.408103896103896,2023-06-01,Bronx,Brooklyn
3040,147545.84,48.534815789473683,29.388815789473686,9.3450230263157898,2023-09-01,Brooklyn,Queens
57,5061.0999999999985,88.791228070175407,36.912280701754383,7.3871929824561402,2023-07-01,Staten Island,Manhattan
35,2694.6600000000003,76.990285714285719,28.914285714285715,17.775428571428574,2022-02-01,Staten Island,Queens
2,202.59999999999999,101.3,31.5,17.789999999999999,2022-07-01,EWR,Brooklyn
263,27798.889999999999,105.69920152091254,22.49809885931559,14.120190114068432,2022-04-01,Unknown,EWR
16134,621386.09999999998,38.514075864633689,21.536382794099417,7.4030017354654714,2022-06-01,Unknown,Manhattan
66,3195.5000000000009,48.416666666666679,19.272727272727273,8.6059090909090905,2022-02-01,Bronx,Unknown
7385,634285.01000000036,85.888288422478041,25.146648612051457,15.386643195666888,2022-12-01,Queens,Unknown
9255,387559.69999999995,41.875710426796324,26.615775256618043,5.4165316045380871,2023-09-01,Brooklyn,Manhattan
364,36454.100000000013,100.14862637362641,0.62362637362637363,0.90618131868131846,2023-07-01,EWR,EWR
51,6132.21,120.23941176470588,22.058823529411764,13.921960784313727,2023-07-01,Unknown,EWR
40,4693.54,117.3385,4.0250000000000004,2.5042499999999999,2023-03-01,EWR,Unknown
309,29515.679999999993,95.519999999999982,0.27184466019417475,0.25213592233009707,2022-02-01,EWR,EWR
3196,157868.78,49.395738423028789,29.54349186483104,10.127825406758451,2023-05-01,Brooklyn,Queens
8148,323678.84999999998,39.724944771723116,25.371379479626903,6.0885260186548855,2023-07-01,Brooklyn,Manhattan
349,17438.69999999999,49.967621776504267,30.610315186246417,9.5158739255014275,2023-02-01,Bronx,Queens
10007,1255099.3900000004,125.42214349955034,34.492455281303087,17.65043869291496,2023-12-01,Manhattan,EWR
298,13897.170000000009,46.63479865771815,22.073825503355703,9.2348993288590613,2023-08-01,Unknown,Brooklyn
62,4808.6100000000015,77.558225806451631,32.70967741935484,12.361290322580647,2022-02-01,Staten Island,Manhattan
72,7630.5800000000027,105.98027777777781,21.25,14.006249999999998,2022-02-01,Unknown,EWR
60,3287.3599999999992,54.789333333333317,16.216666666666665,6.8711666666666682,2022-11-01,Bronx,Unknown
3,301.36000000000001,100.45333333333333,24.666666666666668,13.853333333333333,2023-07-01,EWR,Staten Island
1,113.81999999999999,113.81999999999999,21,15.56,2023-02-01,Staten Island,EWR
273,17494,64.080586080586087,36.179487179487182,9.4787545787545771,2022-01-01,Bronx,Brooklyn
277,29116.119999999995,105.11234657039709,21.722021660649819,12.39039711191336,2022-11-01,Unknown,EWR
8946,422110.82999999984,47.184309188464098,26.677509501453162,8.5903644086742652,2023-12-01,Manhattan,Bronx
5567,441487.08999999985,79.304309322795021,30.316507993533321,15.57063409376684,2023-12-01,Queens,Bronx
432,42033.079999999987,97.29879629629626,0.41666666666666669,0.7557638888888889,2023-05-01,EWR,EWR
28,1702.4999999999998,60.803571428571423,34.428571428571431,15.518571428571429,2023-05-01,Staten Island,Brooklyn
47,3675.54,78.202978723404257,31.638297872340427,9.2317021276595721,2022-10-01,Staten Island,Queens
86,7705.1100000000069,89.594302325581481,29.093023255813954,16.029069767441865,2023-05-01,Staten Island,Manhattan
23,1960.8299999999997,85.253478260869556,37.347826086956523,17.94086956521739,2022-08-01,Staten Island,Queens
32537,1577454.259999997,48.48185942158149,30.128131050803699,13.785282601346166,2022-01-01,Queens,Brooklyn
354,17065.019999999993,48.206271186440659,29.435028248587571,9.0396892655367207,2022-05-01,Bronx,Queens
2347,97871.829999999973,41.70082232637408,28.649765658287176,9.4791180230080947,2022-08-01,Brooklyn,Queens
67,4154.1200000000008,62.001791044776134,30.223880597014926,13.394626865671642,2023-06-01,Brooklyn,Staten Island
77,5501.4400000000005,71.447272727272733,23.883116883116884,19.871818181818181,2022-11-01,Unknown,Staten Island
350,22926.189999999988,65.503399999999971,31.217142857142857,12.259628571428568,2023-09-01,Brooklyn,Bronx
67654,2056092.9899999853,30.391299701421723,14.918437934194579,5.8340614006562816,2022-11-01,Queens,Queens
43073,2126082.8799999934,49.359990713439821,33.08135026582778,13.88833724142734,2022-07-01,Queens,Brooklyn
407,32313.179999999986,79.393562653562626,36.363636363636367,16.304422604422601,2022-03-01,Manhattan,Staten Island
113830,5741024.0099999895,50.435069928841159,28.267512957919706,11.282561890538517,2022-11-01,Manhattan,Queens
756,77503.159999999989,102.51740740740739,0.48412698412698413,0.357116402116402,2022-08-01,EWR,EWR
283,30786.519999999979,108.78628975265011,25.858657243816253,15.624063604240288,2022-08-01,Unknown,EWR
22853,726600.0700000003,31.794515818492115,14.177788474160941,2.7216995580448957,2023-11-01,Unknown,Unknown
441,52458.639999999999,118.95383219954648,38.530612244897959,25.73965986394558,2023-04-01,Queens,Staten Island
123,12602.899999999994,102.46260162601621,35.658536585365852,17.389918699186993,2022-05-01,Brooklyn,EWR
