geo_place_name
Morrisania and Crotona (CD3)
Bedford Stuyvesant (CD3)
Tottenville and Great Kills (CD3)
Chelsea-Village
Bedford Stuyvesant - Crown Heights
Flushing - Clearview
Fordham - Bronx Pk
Pelham - Throgs Neck
East Harlem
East New York
Upper East Side-Gramercy
South Beach - Tottenville
Bayside - Little Neck
Flushing and Whitestone (CD7)
Flatbush and Midwood (CD14)
Sunset Park
Bayside Little Neck-Fresh Meadows
Southeast Queens
Bensonhurst - Bay Ridge
Union Square-Lower Manhattan
South Ozone Park and Howard Beach (CD10)
Jamaica and Hollis (CD12)
Throgs Neck and Co-op City (CD10)
Borough Park (CD12)
Williamsburg - Bushwick
Ridgewood - Forest Hills
Willowbrook
Hillcrest and Fresh Meadows (CD8)
Rego Park and Forest Hills (CD6)
Clinton and Chelsea (CD4)
Stuyvesant Town and Turtle Bay (CD6)
Riverdale and Fieldston (CD8)
South Beach and Willowbrook (CD2)
Financial District (CD1)
Woodside and Sunnyside (CD2)
Greenpoint and Williamsburg (CD1)
St. George and Stapleton (CD1)
Fort Greene and Brooklyn Heights (CD2)
Mott Haven and Melrose (CD1)
Upper West Side
Hunts Point and Longwood (CD2)
Long Island City and Astoria (CD1)
Coney Island - Sheepshead Bay
Borough Park
Manhattan
High Bridge - Morrisania
Union Square - Lower East Side
Greenwich Village and Soho (CD2)
Kingsbridge - Riverdale
Northeast Bronx
Greenpoint
West Queens
Jackson Heights (CD3)
Flatlands and Canarsie (CD18)
East Flatbush (CD17)
Central Harlem - Morningside Heights
Downtown - Heights - Slope
Southwest Queens
Washington Heights
Upper West Side (CD7)
Rockaway and Broad Channel (CD14)
Kingsbridge Heights and Bedford (CD7)
Staten Island
Sunset Park (CD7)
Williamsbridge and Baychester (CD12)
Washington Heights and Inwood (CD12)
Upper East Side (CD8)
Long Island City - Astoria
Port Richmond
Bay Ridge and Dyker Heights (CD10)
Central Harlem (CD10)
New York City
Jamaica
Canarsie - Flatlands
Coney Island (CD13)
Sheepshead Bay (CD15)
Queens
Queens Village (CD13)
Rockaways
Lower Manhattan
Crown Heights and Prospect Heights (CD8)
Belmont and East Tremont (CD6)
Park Slope and Carroll Gardens (CD6)
Crotona -Tremont
Upper East Side
Ridgewood and Maspeth (CD5)
Midtown (CD5)
Fresh Meadows
East Flatbush - Flatbush
Fordham and University Heights (CD5)
East New York and Starrett City (CD5)
Chelsea - Clinton
Bayside and Little Neck (CD11)
East Harlem (CD11)
Morningside Heights and Hamilton Heights (CD9)
Bensonhurst (CD11)
Morris Park and Bronxdale (CD11)
Kew Gardens and Woodhaven (CD9)
Stapleton - St. George
South Crown Heights and Lefferts Gardens (CD9)
Parkchester and Soundview (CD9)
Brownsville (CD16)
Gramercy Park - Murray Hill
Greenwich Village - SoHo
Hunts Point - Mott Haven
Bronx
Elmhurst and Corona (CD4)
Highbridge and Concourse (CD4)
Bushwick (CD4)
Brooklyn
Lower East Side and Chinatown (CD3)
South Bronx
Southern SI
Northern SI
""
