Nombre de la Estación,Tipo de Instalación,Latitude,Longitude,Barrio
Icon Parking 200 E 32nd Street - Tesla Destination,PAY_GARAGE,40.744029,-73.978952,Manhattan
Icon Parking 200 E 65th Street - Tesla Destination,PAY_GARAGE,40.764777,-73.963555,Manhattan
Enterprise Parking 200 E 69th St - Tesla Destination,PAY_GARAGE,40.767289,-73.961762,Manhattan
iPark 200 E 70th Street - Tesla Destination,PAY_GARAGE,40.768244,-73.961621,Manhattan
iPark NYC The Carnegie Garage - Tesla Destination,PAY_GARAGE,40.783355,-73.949998,Manhattan
GMC Copley Parking - Tesla Destination,PAY_GARAGE,40.775496,-73.981552,Manhattan
MPG 201 E 56th - Tesla Destination,PAY_GARAGE,40.759764,-73.967956,Manhattan
Icon Parking 203 E 61 Street - Tesla Destination,PAY_GARAGE,40.762948,-73.965513,Manhattan
Rapidpark 204 W 101st Street - Tesla Destination,PAY_GARAGE,40.797283,-73.968766,Manhattan
Champion Parking W 76th Street - Tesla Destination,PAY_GARAGE,40.78168,-73.97994,Manhattan
Icon Parking 810 Seventh Ave - Tesla Destination,PAY_GARAGE,40.762891,-73.983151,Manhattan
Standard Parking 21 East 15th Street - Tesla Destination,PAY_GARAGE,40.73644,-73.992027,Manhattan
Rapidpark 210 W 102nd Street - Tesla Destination,PAY_GARAGE,40.797961,-73.968389,Manhattan
Champion Parking 74 LLC - Tesla Destination,PAY_GARAGE,40.780143,-73.98221,Manhattan
GGMC Parking Seven Eleven (Located at 217 E 44th St) - Tesla Destination,PAY_GARAGE,40.752004,-73.972808,Manhattan
Icon Parking 220 Riverside Blvd - Tesla Destination,PAY_GARAGE,40.77975,-73.987272,Manhattan
iPark 200 West Garage Corp. - Tesla Destination,PAY_GARAGE,40.746142,-73.995221,Manhattan
Parkit 221 Thompson Street - Tesla Destination,PAY_GARAGE,40.729372,-73.999217,Manhattan
Icon Parking 225 W 83 Street - Tesla Destination,PAY_GARAGE,40.786371,-73.977357,Manhattan
Quik Park Broadway Garage LLC - Tesla Destination,PAY_GARAGE,40.765735,-73.982101,Manhattan
GGMC Yorkville Car Park - Tesla Destination,PAY_GARAGE,40.782163,-73.95059,Manhattan
Champion Parking 230 W 55th Street - Tesla Destination,PAY_GARAGE,40.764693,-73.982708,Manhattan
Icon Parking 237 West Thames - Tesla Destination,PAY_GARAGE,40.708465,-74.016762,Brooklyn
Icon 299 Peal Street Seaport Parking - Tesla Destination,PAY_GARAGE,40.70736,-74.004989,Brooklyn
iPark 245 East 63rd Street - Tesla Destination,PAY_GARAGE,40.763562,-73.963079,Manhattan
GGMC Ruppert Car Park - Tesla Destination,PAY_GARAGE,40.780918,-73.950526,Manhattan
iPark NYC 246 E 45 Street - Tesla Destination,PAY_GARAGE,40.751676,-73.971144,Manhattan
iPark NYC 250 West Parking - Tesla Destination,PAY_GARAGE,40.742179,-73.999226,Manhattan
Quik Park Columbia Garage LLC - Tesla Destination,PAY_GARAGE,40.795279,-73.971688,Manhattan
Quik Park 40 Riverside Blvd - Tesla Destination,PAY_GARAGE,40.773464,-73.989532,Manhattan
Rapidpark 25-27 Beekman Street - Tesla Destination,PAY_GARAGE,40.710628,-74.006186,Brooklyn
Rapidpark 254 W 79th Street - Tesla Destination,PAY_GARAGE,40.78386,-73.980521,Manhattan
MPG 266 E 97 St - Tesla Destination,PAY_GARAGE,40.784771,-73.946728,Manhattan
Parkit 27 N Moore Street - Tesla Destination,PAY_GARAGE,40.720215,-74.007465,Brooklyn
iPark 455 Central Park West - Tesla Destination,PAY_GARAGE,40.797875,-73.961228,Manhattan
Standard Parking 270 Greenwich - Tesla Destination,PAY_GARAGE,40.715543,-74.011435,Brooklyn
Icon Parking 279 East 65th Street - Tesla Destination,PAY_GARAGE,40.764758,-73.962042,Manhattan
ABM Parking Services 285 W 50th Street LLC - Tesla Destination,PAY_GARAGE,40.762337,-73.985727,Manhattan
Parkright 39 E 29th Street - Tesla Destination,HOTEL,40.744551,-73.984535,Manhattan
iPark 3 E 67th Street - Tesla Destination,PAY_GARAGE,40.769386,-73.969137,Manhattan
Icon Parking 30 W 63rd St - Tesla Destination,PAY_GARAGE,40.770769,-73.981573,Manhattan
GGMC Parking Connaught - Tesla Destination,PAY_GARAGE,40.756956,-73.966399,Manhattan
Icon Parking 300 E 59th Street - Tesla Destination,PAY_GARAGE,40.760421,-73.964418,Manhattan
GGMC Parking E 74th Street - Tesla Destination,PAY_GARAGE,40.769925,-73.957476,Manhattan
Parkright 300 E 77th St - Tesla Destination,HOTEL,40.771689,-73.955816,Manhattan
Icon Parking 301 E 57 Street - Tesla Destination,PAY_GARAGE,40.759484,-73.965206,Manhattan
Parkit 301 E 64th - Tesla Destination,PAY_GARAGE,40.76389,-73.961892,Manhattan
Icon Parking 308 Greenwich - Tesla Destination,HOTEL,40.717568,-74.011042,Brooklyn
Parkit 310 E 11th Street - Tesla Destination,PAY_GARAGE,40.729871,-73.98568,Manhattan
Waldorf Astoria New York - Tesla Destination,HOTEL,40.757047,-73.974455,Manhattan
Quik Park 311 West Broadway LLC - Tesla Destination,PAY_GARAGE,40.721638,-74.003781,Brooklyn
Icon Parking 322 23rd Street - Tesla Destination,PAY_GARAGE,40.737362,-73.980167,Manhattan
Quik Park 32 Debrosses LLC - Tesla Destination,PAY_GARAGE,40.723702,-74.010335,Manhattan
Glenwood Belmont Parking - Tesla Destination,PAY_GARAGE,40.751784,-73.969463,Manhattan
Champion Parking W 57th Street - Tesla Destination,PAY_GARAGE,40.767194,-73.984544,Manhattan
GGMC Parking 8 E 33rd St Garage - Tesla Destination,PAY_GARAGE,40.74733,-73.984857,Manhattan
Icon Parking E 48th Street - Tesla Destination,PAY_GARAGE,40.75323,-73.96799,Manhattan
Icon Parking 330 E 39th Street - Tesla Destination,PAY_GARAGE,40.747123,-73.972257,Manhattan
Icon Parking 330 W 58th Street - Tesla Destination,PAY_GARAGE,40.767725,-73.983646,Manhattan
Apple Parking 332 W 11th Street - Tesla Destination,PAY_GARAGE,40.735404,-74.007717,Manhattan
