cant_registros,costo_total,costo_promedio,duracion_promedio,distancia_promedio,dia,barrio_abordaje,barrio_destino,codigo_postal_abordaje,codigo_postal_destino
178649,12169437.130000113,68.11925692279335,31.784784689530863,14.385286959344866,2022-12-01,Queens,Manhattan,11433,10112
72121,2657181.5399999926,36.843381816669115,26.05884555122641,6.620853981503305,2022-12-01,Manhattan,Brooklyn,10212,11239
97,8063.870000000006,83.1326804123712,29.27835051546392,11.532886597938145,2022-05-01,Staten Island,Manhattan,10312,10024
6450,257127.42999999996,39.86471782945736,24.228217054263567,5.944345736434105,2023-01-01,Brooklyn,Manhattan,11201,10211
200148,16478080.950000076,82.32948093410914,32.84042808321842,14.030290884745284,2023-10-01,Queens,Manhattan,11102,10256
77,4411.970000000003,57.29831168831173,34.051948051948045,11.29857142857143,2022-09-01,Staten Island,Brooklyn,10310,11241
71081,2892741.7800000003,40.696413668912925,17.325684782149942,6.221600990419384,2023-09-01,Queens,Queens,11379,11381
6234,494080.8600000001,79.25583253128009,30.510266281681105,15.95509624639076,2024-01-01,Queens,Bronx,11357,10455
68,2066.72,30.392941176470583,2.838235294117647,0.4974999999999998,2023-07-01,Staten Island,Staten Island,10304,10308
5,499.80000000000007,99.96,33.2,20.428,2023-12-01,Staten Island,Queens,10308,11439
42,3542.2,84.33809523809522,30.166666666666668,20.395238095238103,2022-04-01,Staten Island,Bronx,10306,10475
26,1099.2500000000002,42.27884615384616,13.807692307692308,6.205769230769231,2023-09-01,Brooklyn,Staten Island,11208,10305
24,2058.51,85.77125000000001,40.79166666666666,22.22083333333333,2023-01-01,Staten Island,Bronx,10302,10459
21,1774.15,84.48333333333332,38.42857142857143,21.115714285714287,2022-02-01,Staten Island,Bronx,10302,10458
408,24843.69,60.89139705882353,35.21078431372549,12.13919117647059,2022-08-01,Bronx,Brooklyn,10458,11244
376,23488.85,62.47034574468085,33.316489361702125,11.48691489361702,2022-10-01,Bronx,Brooklyn,10464,11202
165527,13757295.050000053,83.1120907767316,32.417231025754106,14.173829828366364,2023-09-01,Queens,Manhattan,11411,10075
460,24892.689999999995,54.114543478260856,30.730434782608697,10.133608695652176,2023-08-01,Bronx,Queens,10454,11422
90,2889.6800000000007,32.107555555555564,3.8,1.5561111111111114,2023-05-01,Staten Island,Staten Island,10307,10309
80235,3224832.999999999,40.1923474792796,17.214956066554496,6.410055711347916,2023-08-01,Queens,Queens,11366,11375
1970,73545.97999999998,37.3329847715736,29.62030456852792,6.390944162436548,2023-08-01,Bronx,Manhattan,10469,10009
59,3197.27,54.19101694915254,25.220338983050848,11.52169491525424,2023-05-01,Brooklyn,Staten Island,11216,10314
1,70.65,70.65,47.0,22.66,2024-02-01,Staten Island,Queens,10307,11427
1809,66110.24,36.54518518518519,29.626312880044225,5.957236042012161,2023-03-01,Bronx,Manhattan,10472,10044
12,1089.39,90.7825,38.583333333333336,22.524999999999995,2023-02-01,Bronx,Staten Island,10475,10304
471,30289.66999999999,64.3092781316348,31.14012738853503,12.754819532908703,2023-05-01,Brooklyn,Bronx,11238,10458
8,630.9,78.86249999999998,26.75,27.025,2022-10-01,Staten Island,Bronx,10314,10471
82,3028.120000000001,36.92829268292684,6.926829268292682,0.9029268292682926,2022-10-01,Staten Island,Staten Island,10310,10309
75,5828.500000000002,77.71333333333334,32.586666666666666,9.812266666666666,2022-03-01,Staten Island,Manhattan,10314,10111
38,1908.0,50.21052631578947,22.81578947368421,8.79342105263158,2023-08-01,Brooklyn,Staten Island,11218,10305
98,7252.270000000003,74.00275510204085,17.214285714285715,0.8889795918367344,2022-08-01,Staten Island,Staten Island,10311,10311
20,1650.2399999999996,82.51199999999997,35.7,23.75,2022-08-01,Staten Island,Bronx,10308,10473
3032,110432.59,36.422358179419525,29.41589709762533,7.239798812664907,2024-01-01,Bronx,Manhattan,10457,10271
189395,15147241.850000145,79.97698909686183,32.112051532511416,14.028719237572274,2023-03-01,Queens,Manhattan,11405,10153
11095,244946.07,22.07715817936007,14.066336187471832,2.5298107255520503,2022-12-01,Brooklyn,Brooklyn,11256,11216
58703,2539947.329999999,43.267760250753774,26.381343372570395,6.337245626288262,2023-08-01,Manhattan,Brooklyn,10162,11245
90,5043.570000000005,56.039666666666726,35.43333333333333,10.225333333333335,2022-08-01,Brooklyn,Staten Island,11224,10303
110,6725.5400000000045,61.14127272727277,31.79090909090909,11.97672727272727,2023-03-01,Brooklyn,Staten Island,11235,10305
14,1346.8000000000002,96.2,34.5,16.40142857142857,2024-02-01,Staten Island,Manhattan,10310,10041
52143,2281962.02,43.76353527798554,26.04157796827954,6.460357862033253,2024-01-01,Manhattan,Brooklyn,10010,11229
636,37424.219999999965,58.84311320754713,31.910377358490567,14.6140251572327,2024-01-01,Bronx,Brooklyn,10451,11206
72073,3124861.9899999998,43.35690189113814,25.972555603346606,6.361603096860128,2023-03-01,Manhattan,Brooklyn,10269,11241
396,31906.07,80.57088383838382,35.64646464646464,15.954015151515154,2022-05-01,Manhattan,Staten Island,10268,10303
365,21661.94999999999,59.347808219178056,33.49589041095891,10.996328767123288,2022-08-01,Brooklyn,Bronx,11220,10455
351,31433.559999999998,89.55430199430198,35.957264957264954,25.889487179487183,2022-05-01,Queens,Staten Island,11101,10313
337,20876.579999999994,61.94830860534123,32.513353115727,12.373382789317503,2022-10-01,Brooklyn,Bronx,11256,10467
41084,2832019.9300000006,68.93242941291015,31.451903417388763,13.601979602765065,2024-01-01,Queens,Brooklyn,11104,11240
1584,65232.17999999999,41.181931818181816,28.693813131313128,9.021628787878784,2022-02-01,Brooklyn,Queens,11221,11421
2779,116483.09,41.91546959337892,27.81360201511335,9.578474271320616,2022-04-01,Brooklyn,Queens,11217,11435
9835,347025.1100000002,35.284708693441814,24.99369598373157,8.561591255719373,2022-11-01,Manhattan,Bronx,10152,10461
5474,316899.8500000001,57.89182499086593,30.029229082937523,15.59757398611618,2022-11-01,Queens,Bronx,11372,10457
331,27309.450000000008,82.50589123867071,36.16616314199396,17.79722054380664,2022-11-01,Manhattan,Staten Island,10026,10302
57,2018.49,35.41210526315789,2.192982456140351,0.3354385964912281,2023-11-01,Staten Island,Staten Island,10309,10313
91,7320.480000000005,80.44483516483521,32.48351648351648,11.080769230769231,2022-04-01,Staten Island,Manhattan,10308,10260
39,1840.15,47.18333333333333,3.1538461538461537,1.0930769230769233,2023-10-01,Staten Island,Staten Island,10313,10311
3253,141219.39000000004,43.41204734091609,28.255763910236706,9.96822317860436,2022-06-01,Brooklyn,Queens,11236,11413
321,15086.099999999997,46.99719626168224,28.4797507788162,9.322616822429904,2022-07-01,Bronx,Queens,10463,11419
3051,75669.07,24.801399541134057,16.28777450016388,2.614418223533267,2023-12-01,Bronx,Bronx,10474,10463
9916,233013.7800000001,23.49876764824527,15.44362646228318,2.6080758370310626,2023-07-01,Brooklyn,Brooklyn,11218,11216
399,24516.129999999976,61.44393483709268,31.606516290726816,11.948621553884712,2023-10-01,Brooklyn,Bronx,11218,10464
46,2680.6900000000005,58.275869565217405,34.54347826086956,15.00434782608696,2022-04-01,Staten Island,Brooklyn,10303,11235
39,1476.4900000000002,37.85871794871795,11.82051282051282,3.982564102564103,2023-10-01,Brooklyn,Staten Island,11230,10307
7961,254915.0700000001,32.020483607587,24.822384122597665,5.601518653435497,2022-02-01,Brooklyn,Manhattan,11238,10260
12135,392117.84000000014,32.31296580140092,24.83403378656778,5.713576431808819,2022-06-01,Brooklyn,Manhattan,11222,10002
71778,3228579.630000001,44.9800723062777,27.548663936024965,6.369679149600155,2023-10-01,Manhattan,Brooklyn,10173,11219
50,4071.5700000000006,81.43140000000001,32.32,26.788199999999996,2023-07-01,Staten Island,Bronx,10305,10469
55,2419.5499999999997,43.99181818181817,5.745454545454545,0.9798181818181816,2023-09-01,Staten Island,Staten Island,10304,10308
284,25169.75,88.62588028169014,35.267605633802816,24.358133802816894,2022-03-01,Queens,Staten Island,11412,10302
74,4451.850000000001,60.16013513513517,33.13513513513514,10.036756756756755,2022-08-01,Staten Island,Brooklyn,10311,11229
11223,269035.96000000014,23.97183997148713,16.5676735275773,2.6437904303662134,2023-08-01,Brooklyn,Brooklyn,11235,11233
12785,301383.79,23.573233476730543,16.04466171294486,2.6561908486507635,2023-05-01,Brooklyn,Brooklyn,11208,11242
342,21596.589999999986,63.147923976608155,31.69298245614035,13.203274853801174,2023-02-01,Bronx,Brooklyn,10463,11231
44,3370.230000000001,76.59613636363639,32.11363636363637,12.304772727272727,2022-03-01,Staten Island,Queens,10303,11416
80,4594.550000000001,57.431875000000005,34.325,13.641375,2022-10-01,Staten Island,Brooklyn,10302,11219
12437,245784.61999999988,19.762371954651435,14.044866125271367,2.4908965184530025,2022-10-01,Brooklyn,Brooklyn,11223,11204
1110,36750.61000000001,33.108657657657666,27.36036036036036,5.999198198198198,2022-11-01,Bronx,Manhattan,10457,10256
37420,2587579.7199999997,69.14964510956706,31.927605558524853,13.641234901122392,2023-02-01,Queens,Brooklyn,11411,11234
6241,500570.9,80.20684185226726,30.960903701329915,15.461834641884312,2023-11-01,Queens,Bronx,11362,10454
2521,62360.47999999997,24.736406188020613,15.9230464101547,2.5801229670765564,2024-02-01,Bronx,Bronx,10471,10453
46271,2310050.9299999927,49.924378768559,32.35452010978799,13.759349052322182,2022-05-01,Queens,Brooklyn,11367,11210
172680,10549064.510000058,61.090250810748536,31.793154968728285,14.388686298355346,2022-11-01,Queens,Manhattan,11001,10173
9948,200075.3199999998,20.11211499798953,14.113088057901086,2.633288098110171,2022-08-01,Brooklyn,Brooklyn,11215,11206
27,2487.5599999999995,92.13185185185183,32.77777777777778,18.12555555555556,2022-04-01,Bronx,Staten Island,10462,10313
18,1548.7700000000002,86.04277777777777,25.444444444444443,20.41111111111111,2023-01-01,Bronx,Staten Island,10466,10303
70,2210.13,31.57328571428571,7.8,0.8265714285714285,2023-02-01,Staten Island,Staten Island,10312,10303
3124,138608.56,44.368937259923165,28.790012804097312,9.55348271446863,2024-01-01,Brooklyn,Queens,11216,11425
69296,2307667.4899999937,33.30159735049633,26.035673054721773,6.55345474486262,2022-11-01,Manhattan,Brooklyn,10020,11256
66,4208.460000000002,63.76454545454549,33.621212121212125,15.278939393939392,2023-04-01,Staten Island,Brooklyn,10311,11208
60,4454.750000000003,74.24583333333338,35.1,11.713666666666668,2022-12-01,Staten Island,Queens,10303,11352
5,410.94,82.188,36.2,18.998,2024-01-01,Staten Island,Manhattan,10304,10024
8217,333905.37000000005,40.63592186929538,26.015820859194356,7.135162690763051,2024-01-01,Brooklyn,Manhattan,11216,10276
13226,318312.7,24.067193406925757,16.51073642824739,2.4074807197943446,2023-10-01,Brooklyn,Brooklyn,11209,11244
558,34220.47999999998,61.3270250896057,31.548387096774192,14.199749103942649,2023-12-01,Bronx,Brooklyn,10464,11234
35,3199.44,91.4125714285714,30.857142857142858,16.50657142857143,2022-05-01,Bronx,Staten Island,10461,10304
21,1660.9899999999998,79.09476190476188,29.476190476190474,11.182380952380951,2022-06-01,Staten Island,Queens,10306,11004
94,7495.54,79.73978723404254,28.3936170212766,13.77627659574469,2022-12-01,Staten Island,Manhattan,10304,10007
38,3702.630000000001,97.43763157894739,29.657894736842103,19.60842105263158,2022-01-01,Staten Island,Queens,10302,11101
25,1577.85,63.114,34.4,8.888,2023-07-01,Staten Island,Brooklyn,10303,11209
66939,2715578.309999999,40.5679545556402,15.600785790047656,5.700139828799355,2023-12-01,Queens,Queens,11436,11411
104051,7108875.179999995,68.32106543906349,29.161930207302188,11.40345916906133,2023-12-01,Manhattan,Queens,10044,11430
